Team,Elo,xG diff (MD1),Home Altitude (m),Home Humidity (%),Total Squad Value (€M),Average Player Value (€M),Est. Attendance
Czechia,1731,-1.03,200,74,188.18,7.2,45000
South Africa,1500,-1.34,1753,54,49.25,1.9,37000
Switzerland,1897,2.48,549,76,332.5,12.8,50000
Bosnia,1580,-0.27,511,73,146.4,5.6,38000
Canada,1805,0.27,79,69,198.65,7.6,65000
Qatar,1550,-2.48,10,86,19.93,0.8,40000
Mexico,1857,1.34,2250,49,191.85,7.4,76000
Korea Republic,1784,1.03,38,70,139.05,5.3,52000
USA,1747,0.88,6,75,385.6,14.8,70000
Australia,1774,-0.56,8,65,77.45,3.0,48000
Scotland,1645,-0.16,47,80,170.25,6.5,44000
Morocco,1806,0.3,495,62,447.7,17.2,55000
Brazil,1978,-0.3,10,82,928.2,35.7,72000
Haiti,1550,0.16,75,74,55.9,2.1,35000
Turkiye,1880,0.56,938,60,473.7,18.2,52000
Paraguay,1833,-0.88,74,75,153.65,5.9,40000
Germany,1910,3.81,34,77,947.0,36.4,75000
Cote d'Ivoire,1650,0.65,23,80,522.1,20.1,53000
Ecuador,1933,-0.65,2850,72,368.7,14.2,50000
Curacao,1500,-3.81,0,76,25.78,1.0,30000
Netherlands,1959,0.19,2,81,754.2,29.0,68000
Sweden,1660,1.08,28,78,406.08,15.6,50000
Tunisia,1630,-1.08,230,60,69.95,2.7,43000
Japan,1878,-0.19,40,74,270.85,10.4,58000
Belgium,1850,0.27,102,82,547.5,21.1,63000
IR Iran,1755,0.26,1200,39,32.05,1.2,45000
New Zealand,1500,-0.26,40,78,34.45,1.3,37000
Egypt,1659,-0.27,23,55,116.48,4.5,50000
Uruguay,1890,0.55,43,74,359.3,13.8,52000
Spain,2172,1.99,650,50,1220.0,46.9,80000
Saudi Arabia,1635,-0.55,620,50,40.68,1.6,48000
Cabo Verde,1500,-1.99,60,66,49.25,1.9,35000
Norway,1922,1.76,23,77,589.9,22.7,65000
France,2062,1.23,96,78,1520.0,58.5,80000
Senegal,1869,-1.23,22,66,478.1,18.4,58000
Iraq,1600,-1.76,34,34,21.2,0.8,42000
Argentina,2113,0.92,25,71,807.5,31.1,80000
Algeria,1728,-0.92,424,50,256.9,9.9,50000
Austria,1818,1.13,171,74,245.2,9.4,50000
Jordan,1689,-1.13,1006,44,20.3,0.8,38000
England,2042,0.0,7,79,1360.0,52.3,78000
Ghana,1620,0.0,61,80,234.5,9.0,48000
Panama,1733,0.0,30,80,34.55,1.3,42000
Croatia,1932,0.0,122,67,387.3,14.9,52000
Portugal,1976,0.0,110,75,1010.0,38.8,72000
Colombia,1998,0.0,2625,63,302.35,11.6,62000
DR Congo,1550,0.0,315,83,143.9,5.5,40000
Uzbekistan,1728,0.0,458,43,85.33,3.3,40000
