Team 1,Team 2,Team 1 Score,Team 2 Score,Winner
Mexico,South Africa,2,0,Mexico
Korea Republic,Czechia,2,1,Korea Republic
Canada,Bosnia and Herzegovina,1,1,Draw
USA,Paraguay,4,1,USA
Haiti,Scotland,0,1,Scotland
Australia,Turkiye,2,0,Australia
Brazil,Morocco,1,1,Draw
Qatar,Switzerland,1,1,Draw
Cote d'Ivoire,Ecuador,1,0,Cote d'Ivoire
Germany,Curacao,7,1,Germany
Netherlands,Japan,2,2,Draw
Sweden,Tunisia,5,1,Sweden
Saudi Arabia,Uruguay,1,1,Draw
Spain,Cabo Verde,0,0,Draw
IR Iran,New Zealand,2,2,Draw
Belgium,Egypt,1,1,Draw
France,Senegal,3,1,France
Iraq,Norway,1,4,Norway
Argentina,Algeria,3,0,Argentina
Austria,Jordan,3,1,Austria
Ghana,Panama,1,0,Ghana
England,Croatia,4,2,England
Portugal,Congo DR,1,1,Draw
Uzbekistan,Colombia,1,3,Colombia
Czechia,South Africa,1,1,Draw
Switzerland,Bosnia and Herzegovina,4,1,Switzerland
Canada,Qatar,6,0,Canada
Mexico,Korea Republic,1,0,Mexico
Brazil,Haiti,3,0,Brazil
Scotland,Morocco,0,1,Morocco
Turkiye,Paraguay,0,1,Paraguay
USA,Australia,2,0,USA
Germany,Cote d'Ivoire,2,1,Germany
Ecuador,Curacao,0,0,Draw
Netherlands,Sweden,5,1,Netherlands
Tunisia,Japan,0,4,Japan
Uruguay,Cabo Verde,2,2,Draw
Spain,Saudi Arabia,4,0,Spain
Belgium,IR Iran,0,0,Draw
New Zealand,Egypt,1,3,Egypt
Norway,Senegal,3,2,Norway
France,Iraq,3,0,France
Argentina,Austria,2,0,Argentina
Jordan,Algeria,1,2,Algeria
England,Ghana,0,0,Draw
Panama,Croatia,0,1,Croatia
Portugal,Uzbekistan,5,0,Portugal
Colombia,Congo DR,1,0,Colombia
Scotland,Brazil,0,3,Brazil
Morocco,Haiti,4,2,Morocco
Switzerland,Canada,2,1,Switzerland
Bosnia and Herzegovina,Qatar,3,1,Bosnia and Herzegovina
Czechia,Mexico,0,3,Mexico
South Africa,Korea Republic,1,0,South Africa
Curacao,Cote d'Ivoire,0,2,Cote d'Ivoire
Ecuador,Germany,2,1,Ecuador
Japan,Sweden,1,1,Draw
Tunisia,Netherlands,1,3,Netherlands
Turkiye,USA,3,2,Turkiye
Paraguay,Australia,0,0,Draw
Norway,France,1,4,France
Senegal,Iraq,5,0,Senegal
Egypt,IR Iran,1,1,Draw
New Zealand,Belgium,1,5,Belgium
Cabo Verde,Saudi Arabia,0,0,Draw
Uruguay,Spain,0,1,Spain
Panama,England,0,2,England
Croatia,Ghana,2,1,Croatia
Algeria,Austria,3,3,Draw
Jordan,Argentina,1,3,Argentina
Colombia,Portugal,0,0,Draw
Congo DR,Uzbekistan,3,1,Congo DR
