run_id,task_type,batch,arch,width,activation,dropout,l2,optimizer,lr,features,val_metric,val_sec_metric1,val_sec_metric2,test_metric,test_sec_metric1,test_sec_metric2
90488def,classification,batch_1_baseline,3,64,relu,0.0,0.0,adam,0.001,basic,0.8214,0.8867,0.4497,0.8000,0.8510,0.4983
0fc99f5d,classification,batch_2_arch,1,16,relu,0.0,0.0,adam,0.001,basic,0.8357,0.8908,0.4503,0.8143,0.8694,0.4769
8f55ee84,classification,batch_2_arch,1,32,relu,0.0,0.0,adam,0.001,basic,0.8429,0.8765,0.4467,0.8286,0.8745,0.4687
ac9dc8c2,classification,batch_2_arch,1,128,relu,0.0,0.0,adam,0.001,basic,0.8286,0.8735,0.4553,0.8357,0.8643,0.4616
3df7324f,classification,batch_2_arch,2,16,relu,0.0,0.0,adam,0.001,basic,0.8429,0.8837,0.4289,0.8000,0.8663,0.4603
7bcdd10e,classification,batch_2_arch,2,32,relu,0.0,0.0,adam,0.001,basic,0.8214,0.8857,0.4484,0.8143,0.8561,0.4771
ef9a75ed,classification,batch_2_arch,2,128,relu,0.0,0.0,adam,0.001,basic,0.8214,0.8878,0.4400,0.8143,0.8592,0.4928
702e0ce5,classification,batch_2_arch,4,16,relu,0.0,0.0,adam,0.001,basic,0.8000,0.8724,0.4846,0.7571,0.8520,0.5361
026897e4,classification,batch_2_arch,4,32,relu,0.0,0.0,adam,0.001,basic,0.8214,0.8786,0.4627,0.7643,0.8449,0.5790
832c8406,classification,batch_2_arch,4,128,relu,0.0,0.0,adam,0.001,basic,0.8143,0.8857,0.4417,0.8214,0.8500,0.5070
333e47ae,classification,batch_3_reg,1,32,leaky_relu,0.0,0.0,adam,0.001,basic,0.8429,0.8806,0.4451,0.8429,0.8663,0.4637
b00d5e9e,classification,batch_3_reg,1,32,leaky_relu,0.0,0.0001,adam,0.001,basic,0.8429,0.8816,0.4451,0.8429,0.8663,0.4635
61678ab5,classification,batch_3_reg,1,32,leaky_relu,0.0,0.01,adam,0.001,basic,0.8429,0.8806,0.4509,0.8357,0.8622,0.4638
2639f1d8,classification,batch_3_reg,1,32,leaky_relu,0.2,0.0,adam,0.001,basic,0.8357,0.8816,0.4519,0.8357,0.8673,0.4482
46a1081d,classification,batch_3_reg,1,32,leaky_relu,0.2,0.0001,adam,0.001,basic,0.8357,0.8827,0.4518,0.8357,0.8673,0.4481
7918097f,classification,batch_3_reg,1,32,leaky_relu,0.2,0.01,adam,0.001,basic,0.8357,0.8816,0.4522,0.8286,0.8694,0.4446
1280d165,classification,batch_3_reg,1,32,leaky_relu,0.5,0.0,adam,0.001,basic,0.8286,0.8796,0.4545,0.8286,0.8796,0.4428
703ff8a2,classification,batch_3_reg,1,32,leaky_relu,0.5,0.0001,adam,0.001,basic,0.8286,0.8796,0.4546,0.8286,0.8786,0.4427
8ec56d94,classification,batch_3_reg,1,32,leaky_relu,0.5,0.01,adam,0.001,basic,0.8286,0.8847,0.4532,0.8286,0.8745,0.4432
21946d3d,classification,batch_3_reg,1,32,swish,0.0,0.0,adam,0.001,basic,0.8571,0.8847,0.4411,0.8214,0.8694,0.4934
f1a5e16b,classification,batch_3_reg,1,32,swish,0.0,0.0001,adam,0.001,basic,0.8571,0.8847,0.4413,0.8214,0.8704,0.4929
2b88c0f8,classification,batch_3_reg,1,32,swish,0.0,0.01,adam,0.001,basic,0.8500,0.8867,0.4449,0.8143,0.8796,0.4793
00bc28df,classification,batch_3_reg,1,32,swish,0.2,0.0,adam,0.001,basic,0.8571,0.8857,0.4537,0.8429,0.8827,0.4558
b76d0827,classification,batch_3_reg,1,32,swish,0.2,0.0001,adam,0.001,basic,0.8643,0.8857,0.4542,0.8429,0.8827,0.4543
a047d236,classification,batch_3_reg,1,32,swish,0.2,0.01,adam,0.001,basic,0.8357,0.8796,0.4582,0.8286,0.8765,0.4499
18bec80e,classification,batch_3_reg,1,32,swish,0.5,0.0,adam,0.001,basic,0.8429,0.8786,0.4558,0.8357,0.8908,0.4422
45b41814,classification,batch_3_reg,1,32,swish,0.5,0.0001,adam,0.001,basic,0.8429,0.8786,0.4558,0.8357,0.8898,0.4417
40fc4d7f,classification,batch_3_reg,1,32,swish,0.5,0.01,adam,0.001,basic,0.8429,0.8816,0.4598,0.8214,0.8806,0.4422
a61f82c3,classification,batch_4_opt,1,32,swish,0.2,0.0001,adamw,0.01,basic,0.8500,0.8837,0.4437,0.8143,0.8704,0.4751
f54ca139,classification,batch_4_opt,1,32,swish,0.2,0.0001,adamw,0.003,basic,0.8500,0.8827,0.4508,0.8286,0.8724,0.4650
347ba7da,classification,batch_4_opt,1,32,swish,0.2,0.0001,adamw,0.0003,basic,0.8429,0.8806,0.4565,0.8357,0.8857,0.4433
5dbbc522,classification,batch_4_opt,1,32,swish,0.2,0.0001,rmsprop,0.01,basic,0.8500,0.8816,0.4464,0.8214,0.8714,0.4657
b9a29bc4,classification,batch_4_opt,1,32,swish,0.2,0.0001,rmsprop,0.003,basic,0.8571,0.8796,0.4495,0.8214,0.8776,0.4674
e7623a41,classification,batch_4_opt,1,32,swish,0.2,0.0001,rmsprop,0.0003,basic,0.8500,0.8776,0.4517,0.8286,0.8908,0.4403
35b6296a,classification,batch_5_feat,1,32,swish,0.2,0.0001,adam,0.001,interaction,0.7857,0.8633,0.4873,0.8000,0.8969,0.4767
96445c49,classification,batch_5_feat,1,32,swish,0.2,0.0001,adam,0.001,absolute,0.8214,0.8776,0.4622,0.7857,0.8663,0.4968
970f9114,classification,batch_5_feat,1,32,swish,0.2,0.0001,adam,0.001,both,0.7857,0.8582,0.4897,0.7643,0.8735,0.4990
c1b3ff24,regression,batch_1_baseline,3,64,relu,0.0,0.0,adam,0.001,basic,1.0098,1.3132,0.4335,1.2285,1.6254,0.2459
dfea0bd4,regression,batch_2_arch,1,16,relu,0.0,0.0,adam,0.001,basic,0.9864,1.2913,0.4528,1.2338,1.6200,0.2558
1e891f99,regression,batch_2_arch,1,32,relu,0.0,0.0,adam,0.001,basic,0.9899,1.2928,0.4517,1.2101,1.6079,0.2636
bbf14324,regression,batch_2_arch,1,128,relu,0.0,0.0,adam,0.001,basic,0.9891,1.2886,0.4540,1.2199,1.6102,0.2636
ad8f1a0a,regression,batch_2_arch,2,16,relu,0.0,0.0,adam,0.001,basic,0.9976,1.2973,0.4474,1.2419,1.6416,0.2360
9c39a5a9,regression,batch_2_arch,2,32,relu,0.0,0.0,adam,0.001,basic,1.0176,1.3192,0.4289,1.2196,1.6134,0.2604
ed208634,regression,batch_2_arch,2,128,relu,0.0,0.0,adam,0.001,basic,0.9903,1.2866,0.4555,1.2068,1.5934,0.2786
3878b848,regression,batch_2_arch,4,16,relu,0.0,0.0,adam,0.001,basic,0.9967,1.3075,0.4359,1.2762,1.6901,0.1950
8cab6d00,regression,batch_2_arch,4,32,relu,0.0,0.0,adam,0.001,basic,1.0129,1.3223,0.4268,1.2607,1.6547,0.2208
005bb8d9,regression,batch_2_arch,4,128,relu,0.0,0.0,adam,0.001,basic,0.9995,1.2844,0.4559,1.2472,1.6220,0.2529
16e6567a,regression,batch_3_reg,1,16,leaky_relu,0.0,0.0,adam,0.001,basic,0.9806,1.2772,0.4639,1.2342,1.6106,0.2635
33e93796,regression,batch_3_reg,1,16,leaky_relu,0.0,0.001,adam,0.001,basic,0.9803,1.2771,0.4640,1.2340,1.6101,0.2640
9614e489,regression,batch_3_reg,1,16,leaky_relu,0.2,0.0,adam,0.001,basic,0.9906,1.2845,0.4578,1.2239,1.6026,0.2707
f3c5bd89,regression,batch_3_reg,1,16,leaky_relu,0.2,0.001,adam,0.001,basic,0.9906,1.2845,0.4577,1.2237,1.6026,0.2708
7ab5c1e4,regression,batch_3_reg,1,16,swish,0.0,0.0,adam,0.001,basic,0.9775,1.2728,0.4664,1.2368,1.6240,0.2524
