num_features,features,val_accuracy
6,"elo_diff, xg_for_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8644444444444446
5,"elo_diff, xg_for_diff, humid_diff, total_value_diff, avg_attend_diff",0.8637037037037039
5,"elo_diff, xg_for_diff, humid_diff, avg_per_player_diff, avg_attend_diff",0.8637037037037039
5,"xg_for_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.86
5,"xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.86
6,"xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8592592592592594
3,"xg_for_diff, humid_diff, avg_attend_diff",0.8585185185185186
6,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.857037037037037
6,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.857037037037037
5,"xg_for_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.857037037037037
7,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.857037037037037
4,"xg_for_diff, humid_diff, total_value_diff, avg_attend_diff",0.8562962962962964
4,"xg_for_diff, humid_diff, avg_per_player_diff, avg_attend_diff",0.8562962962962964
7,"elo_diff, xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8562962962962963
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_per_player_diff, avg_attend_diff",0.8555555555555556
6,"elo_diff, xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_attend_diff",0.8555555555555556
4,"xg_for_diff, humid_diff, avg_age_diff, avg_attend_diff",0.8533333333333333
4,"elo_diff, humid_diff, avg_per_player_diff, avg_attend_diff",0.8518518518518519
4,"elo_diff, humid_diff, total_value_diff, avg_attend_diff",0.8518518518518519
5,"elo_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8518518518518519
7,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8511111111111112
7,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8511111111111112
8,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8511111111111112
6,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8503703703703702
7,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8503703703703702
6,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8503703703703702
4,"xg_for_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8496296296296295
4,"xg_for_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8496296296296295
6,"elo_diff, xg_for_diff, alt_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8488888888888888
5,"xg_for_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8488888888888887
5,"elo_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8481481481481482
5,"elo_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8481481481481482
6,"elo_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8481481481481482
4,"xg_for_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8481481481481481
5,"elo_diff, xg_for_diff, alt_diff, total_value_diff, avg_attend_diff",0.8481481481481481
3,"xg_for_diff, total_value_diff, avg_attend_diff",0.8481481481481481
3,"xg_for_diff, avg_per_player_diff, avg_attend_diff",0.8481481481481481
5,"elo_diff, xg_for_diff, alt_diff, avg_per_player_diff, avg_attend_diff",0.8481481481481481
5,"xg_for_diff, alt_diff, humid_diff, avg_age_diff, avg_attend_diff",0.8474074074074072
6,"xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8466666666666666
4,"xg_for_diff, alt_diff, humid_diff, avg_attend_diff",0.8466666666666666
5,"xg_for_diff, alt_diff, humid_diff, avg_per_player_diff, avg_attend_diff",0.8466666666666666
5,"xg_for_diff, alt_diff, humid_diff, total_value_diff, avg_attend_diff",0.8466666666666666
4,"elo_diff, xg_for_diff, total_value_diff, avg_attend_diff",0.8459259259259261
4,"elo_diff, xg_for_diff, avg_per_player_diff, avg_attend_diff",0.8459259259259261
5,"elo_diff, xg_for_diff, humid_diff, avg_age_diff, avg_attend_diff",0.845925925925926
3,"elo_diff, humid_diff, avg_attend_diff",0.8451851851851854
6,"elo_diff, alt_diff, humid_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8451851851851854
5,"elo_diff, xg_for_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8451851851851854
5,"elo_diff, alt_diff, humid_diff, total_value_diff, avg_attend_diff",0.8444444444444446
5,"elo_diff, alt_diff, humid_diff, avg_per_player_diff, avg_attend_diff",0.8444444444444446
4,"elo_diff, xg_for_diff, humid_diff, avg_attend_diff",0.8444444444444444
2,"xg_for_diff, avg_attend_diff",0.8422222222222223
6,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8400000000000002
6,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8400000000000002
4,"xg_for_diff, alt_diff, total_value_diff, avg_attend_diff",0.84
4,"xg_for_diff, alt_diff, avg_per_player_diff, avg_attend_diff",0.84
5,"xg_for_diff, alt_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.84
3,"humid_diff, avg_age_diff, avg_attend_diff",0.84
4,"elo_diff, humid_diff, avg_age_diff, avg_attend_diff",0.8392592592592594
3,"xg_for_diff, alt_diff, avg_attend_diff",0.8392592592592593
5,"xg_for_diff, alt_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8392592592592591
5,"xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8392592592592591
6,"xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8392592592592591
7,"elo_diff, xg_for_diff, alt_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8385185185185187
5,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8377777777777777
6,"elo_diff, xg_for_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8377777777777777
5,"elo_diff, xg_for_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8377777777777777
4,"elo_diff, alt_diff, humid_diff, avg_attend_diff",0.8370370370370371
2,"humid_diff, avg_attend_diff",0.8355555555555556
4,"elo_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8348148148148149
3,"elo_diff, total_value_diff, avg_attend_diff",0.8348148148148149
3,"elo_diff, avg_per_player_diff, avg_attend_diff",0.8348148148148149
5,"elo_diff, xg_for_diff, alt_diff, humid_diff, avg_attend_diff",0.8340740740740742
6,"elo_diff, alt_diff, humid_diff, avg_age_diff, avg_per_player_diff, avg_attend_diff",0.8333333333333335
6,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_attend_diff",0.8333333333333335
7,"elo_diff, alt_diff, humid_diff, avg_age_diff, total_value_diff, avg_per_player_diff, avg_attend_diff",0.8333333333333335
