Team,Elo,xG_for,Alt,Humid,Avg Age,Total Value,Avg per Player,Avg Attend.
Qatar,1577,0.65,10,63,24.8,45,1.7,36667.0
England,1966,1.98,11,77,26.5,1490,57.3,73200.0
Senegal,1745,1.22,22,71,25.8,330,12.7,57333.0
United States,1817,1.28,7,75,,,,
Argentina,2144,1.8,25,76,27.7,780,30.0,88728.0
Denmark,1883,1.12,10,78,26.3,410,15.8,53667.0
Mexico,1812,1.15,2240,76,28.1,400,15.4,51667.0
France,2081,2.05,35,79,27.6,1340,51.5,80000.0
Morocco,1866,1.05,75,74,25.7,350,13.5,80000.0
Germany,1955,1.6,34,72,26.8,1020,39.2,54667.0
Spain,1997,1.92,650,59,26.7,1200,46.2,68000.0
Belgium,1947,1.08,13,75,28.0,720,27.7,40667.0
Switzerland,1878,1.2,540,66,26.2,390,15.0,58750.0
Uruguay,1904,1.1,43,76,28.2,520,20.0,45667.0
Portugal,1998,1.78,77,77,27.3,1150,44.2,70000.0
Brazil,2133,2.1,1172,83,27.4,1450,55.8,76000.0
Wales,1716,0.75,30,76,24.3,185,7.1,41667.0
Netherlands,2073,1.65,0,75,26.4,760,29.2,71000.0
Tunisia,1745,0.9,4,72,25.5,120,4.6,44000.0
Poland,1801,1.02,110,69,26.1,420,16.2,56250.0
Japan,1851,1.18,40,76,26.0,310,11.9,63000.0
Croatia,1950,1.38,122,67,27.2,460,17.7,77333.0
Cameroon,1676,1.0,750,80,25.4,170,6.5,48667.0
Korea Republic,1788,0.95,38,67,,,,
Ecuador,1841,1.35,2850,84,24.9,128,4.9,52667.0
Iran,1780,0.78,1191,58,28.9,130,5.0,42667.0
Australia,1772,0.98,577,62,24.8,260,10.0,60000.0
Saudi Arabia,1644,0.72,612,54,24.4,95,3.7,35667.0
Canada,1711,0.83,70,74,25.1,240,9.2,46667.0
Costa Rica,1737,0.85,1161,84,27.9,23,0.9,33000.0
Ghana,1593,0.8,61,77,24.7,150,5.8,32000.0
Serbia,1836,0.92,117,68,25.9,250,9.6,50000.0
