team 1,team 2,team 1 elo,team 2 elo,win,score advantage
Qatar,Ecuador,1577,1841,0,-2
England,Iran,1966,1780,1,4
Senegal,Netherlands,1745,2073,0,-2
United States,Wales,1817,1716,,0
Argentina,Saudi Arabia,2144,1644,0,-1
Denmark,Tunisia,1883,1745,,0
Mexico,Poland,1812,1801,,0
France,Australia,2081,1772,1,3
Morocco,Croatia,1866,1950,,0
Germany,Japan,1955,1851,0,-1
Spain,Costa Rica,1997,1737,1,7
Belgium,Canada,1947,1711,1,1
Switzerland,Cameroon,1878,1676,1,1
Uruguay,Korea Republic,1904,1788,,0
Portugal,Ghana,1998,1593,1,1
Brazil,Serbia,2133,1836,1,2
Wales,Iran,1716,1780,0,-2
Qatar,Senegal,1577,1745,0,-2
Netherlands,Ecuador,2073,1841,,0
England,United States,1966,1817,,0
Tunisia,Australia,1745,1772,0,-1
Poland,Saudi Arabia,1801,1644,1,2
France,Denmark,2081,1883,1,1
Argentina,Mexico,2144,1812,1,2
Japan,Costa Rica,1851,1737,0,-1
Belgium,Morocco,1947,1866,0,-2
Croatia,Canada,1950,1711,1,3
Spain,Germany,1997,1955,,0
Cameroon,Serbia,1676,1836,,0
Korea Republic,Ghana,1788,1593,0,-1
Brazil,Switzerland,2133,1878,1,1
Portugal,Uruguay,1998,1904,1,2
Netherlands,Qatar,2073,1577,1,2
Ecuador,Senegal,1841,1745,0,-1
Wales,England,1716,1966,0,-3
Iran,United States,1780,1817,0,-1
Australia,Denmark,1772,1883,1,1
Tunisia,France,1745,2081,1,1
Poland,Argentina,1801,2144,0,-2
Saudi Arabia,Mexico,1644,1812,0,-1
Croatia,Belgium,1950,1947,,0
Canada,Morocco,1711,1866,0,-1
Japan,Spain,1851,1997,1,1
Costa Rica,Germany,1737,1955,0,-2
Ghana,Uruguay,1593,1904,0,-2
Korea Republic,Portugal,1788,1998,1,1
Serbia,Switzerland,1836,1878,0,-1
Cameroon,Brazil,1676,2133,1,1
Netherlands,United States,2073,1817,1,2
Argentina,Australia,2144,1772,1,1
France,Poland,2081,1801,1,2
England,Senegal,1966,1745,1,3
Japan,Croatia,1851,1950,,0
Brazil,Korea Republic,2133,1788,1,3
Morocco,Spain,1866,1997,,0
Portugal,Switzerland,1998,1878,1,5
Croatia,Brazil,1950,2133,,0
Netherlands,Argentina,2073,2144,,0
Morocco,Portugal,1866,1998,1,1
England,France,1966,2081,0,-1
Argentina,Croatia,2144,1950,1,3
France,Morocco,2081,1866,1,2
Croatia,Morocco,1950,1866,1,1
Argentina,France,2144,2081,,0
