team 1,team 2,team 1 elo,team 2 elo,win,score advantage,alt 1,alt 2
Qatar,Ecuador,1577,1841,0,-2,10,2850
England,Iran,1966,1780,1,4,11,1191
Senegal,Netherlands,1745,2073,0,-2,22,0
United States,Wales,1817,1716,,0,7,30
Argentina,Saudi Arabia,2144,1644,0,-1,25,612
Denmark,Tunisia,1883,1745,,0,10,4
Mexico,Poland,1812,1801,,0,2240,110
France,Australia,2081,1772,1,3,35,577
Morocco,Croatia,1866,1950,,0,75,122
Germany,Japan,1955,1851,0,-1,34,40
Spain,Costa Rica,1997,1737,1,7,650,1161
Belgium,Canada,1947,1711,1,1,13,70
Switzerland,Cameroon,1878,1676,1,1,540,750
Uruguay,Korea Republic,1904,1788,,0,43,38
Portugal,Ghana,1998,1593,1,1,77,61
Brazil,Serbia,2133,1836,1,2,1172,117
Wales,Iran,1716,1780,0,-2,30,1191
Qatar,Senegal,1577,1745,0,-2,10,22
Netherlands,Ecuador,2073,1841,,0,0,2850
England,United States,1966,1817,,0,11,7
Tunisia,Australia,1745,1772,0,-1,4,577
Poland,Saudi Arabia,1801,1644,1,2,110,612
France,Denmark,2081,1883,1,1,35,10
Argentina,Mexico,2144,1812,1,2,25,2240
Japan,Costa Rica,1851,1737,0,-1,40,1161
Belgium,Morocco,1947,1866,0,-2,13,75
Croatia,Canada,1950,1711,1,3,122,70
Spain,Germany,1997,1955,,0,650,34
Cameroon,Serbia,1676,1836,,0,750,117
Korea Republic,Ghana,1788,1593,0,-1,38,61
Brazil,Switzerland,2133,1878,1,1,1172,540
Portugal,Uruguay,1998,1904,1,2,77,43
Netherlands,Qatar,2073,1577,1,2,0,10
Ecuador,Senegal,1841,1745,0,-1,2850,22
Wales,England,1716,1966,0,-3,30,11
Iran,United States,1780,1817,0,-1,1191,7
Australia,Denmark,1772,1883,1,1,577,10
Tunisia,France,1745,2081,1,1,4,35
Poland,Argentina,1801,2144,0,-2,110,25
Saudi Arabia,Mexico,1644,1812,0,-1,612,2240
Croatia,Belgium,1950,1947,,0,122,13
Canada,Morocco,1711,1866,0,-1,70,75
Japan,Spain,1851,1997,1,1,40,650
Costa Rica,Germany,1737,1955,0,-2,1161,34
Ghana,Uruguay,1593,1904,0,-2,61,43
Korea Republic,Portugal,1788,1998,1,1,38,77
Serbia,Switzerland,1836,1878,0,-1,117,540
Cameroon,Brazil,1676,2133,1,1,750,1172
Netherlands,United States,2073,1817,1,2,0,7
Argentina,Australia,2144,1772,1,1,25,577
France,Poland,2081,1801,1,2,35,110
England,Senegal,1966,1745,1,3,11,22
Japan,Croatia,1851,1950,,0,40,122
Brazil,Korea Republic,2133,1788,1,3,1172,38
Morocco,Spain,1866,1997,,0,75,650
Portugal,Switzerland,1998,1878,1,5,77,540
Croatia,Brazil,1950,2133,,0,122,1172
Netherlands,Argentina,2073,2144,,0,0,25
Morocco,Portugal,1866,1998,1,1,75,77
England,France,1966,2081,0,-1,11,35
Argentina,Croatia,2144,1950,1,3,25,122
France,Morocco,2081,1866,1,2,35,75
Croatia,Morocco,1950,1866,1,1,122,75
Argentina,France,2144,2081,,0,25,35
