team 1,team 2,team 1 elo,team 2 elo,win,score advantage,team 1 xg for,team 1 xg against,team 1 xg diff,team 2 xg for,team 2 xg against,team 2 xg diff
Qatar,Ecuador,1577,1841,0,-2,0.65,2.05,-1.4,1.35,1.18,0.17
England,Iran,1966,1780,1,4,1.98,0.8,1.18,0.78,1.82,-1.04
Senegal,Netherlands,1745,2073,0,-2,1.22,1.3,-0.08,1.65,1.05,0.6
United States,Wales,1817,1716,,0,1.28,1.12,0.16,0.75,1.68,-0.93
Argentina,Saudi Arabia,2144,1644,0,-1,1.8,0.88,0.92,0.72,1.5,-0.78
Denmark,Tunisia,1883,1745,,0,1.12,1.15,-0.03,0.9,1.35,-0.45
Mexico,Poland,1812,1801,,0,1.15,1.4,-0.25,1.02,1.45,-0.43
France,Australia,2081,1772,1,3,2.05,1.15,0.9,0.98,1.48,-0.5
Morocco,Croatia,1866,1950,,0,1.05,0.65,0.4,1.38,0.95,0.43
Germany,Japan,1955,1851,0,-1,1.6,1.42,0.18,1.18,1.22,-0.04
Spain,Costa Rica,1997,1737,1,7,1.92,0.85,1.07,0.85,1.8,-0.95
Belgium,Canada,1947,1711,1,1,1.08,1.25,-0.17,0.83,1.88,-1.05
Switzerland,Cameroon,1878,1676,1,1,1.2,1.18,0.02,1,1.58,-0.58
Uruguay,Korea Republic,1904,1788,,0,1.1,1.28,-0.18,0.95,1.52,-0.57
Portugal,Ghana,1998,1593,1,1,1.78,0.9,0.88,0.8,1.75,-0.95
Brazil,Serbia,2133,1836,1,2,2.1,0.62,1.48,0.92,1.6,-0.68
Wales,Iran,1716,1780,0,-2,0.75,1.68,-0.93,0.78,1.82,-1.04
Qatar,Senegal,1577,1745,0,-2,0.65,2.05,-1.4,1.22,1.3,-0.08
Netherlands,Ecuador,2073,1841,,0,1.65,1.05,0.6,1.35,1.18,0.17
England,United States,1966,1817,,0,1.98,0.8,1.18,1.28,1.12,0.16
Tunisia,Australia,1745,1772,0,-1,0.9,1.35,-0.45,0.98,1.48,-0.5
Poland,Saudi Arabia,1801,1644,1,2,1.02,1.45,-0.43,0.72,1.5,-0.78
France,Denmark,2081,1883,1,1,2.05,1.15,0.9,1.12,1.15,-0.03
Argentina,Mexico,2144,1812,1,2,1.8,0.88,0.92,1.15,1.4,-0.25
Japan,Costa Rica,1851,1737,0,-1,1.18,1.22,-0.04,0.85,1.8,-0.95
Belgium,Morocco,1947,1866,0,-2,1.08,1.25,-0.17,1.05,0.65,0.4
Croatia,Canada,1950,1711,1,3,1.38,0.95,0.43,0.83,1.88,-1.05
Spain,Germany,1997,1955,,0,1.92,0.85,1.07,1.6,1.42,0.18
Cameroon,Serbia,1676,1836,,0,1,1.58,-0.58,0.92,1.6,-0.68
