Team,Elo,xG_for,Alt,Humid,Avg Age,Total Value,Avg per Player,Avg Attend.,StdDev,Min Player,Max Player,Star Dependency
Russia,1752,1.48,130,74,26.0,148,5.7,79200.0,2.2,0.1,10.0,0.06756756756756757
Egypt,1613,0.75,23,76,28.7,75,2.9,35667.0,1.1,0.1,100.0,1.3333333333333333
Morocco,1728,0.85,75,74,27.8,110,4.2,40667.0,1.9,0.1,12.0,0.10909090909090909
Portugal,1959,1.3,77,77,26.4,658,25.3,52500.0,16.8,0.1,120.0,0.182370820668693
France,2092,1.68,35,79,26.6,1078,41.5,68000.0,28.4,0.5,180.0,0.16697588126159554
Argentina,1920,1.35,25,76,27.7,735,28.3,59000.0,21.6,0.2,180.0,0.24489795918367346
Peru,1855,1.02,154,83,28.1,100,3.8,43333.0,1.5,0.1,8.0,0.08
Croatia,1924,1.7,122,67,26.5,420,16.2,66857.0,8.2,0.1,70.0,0.16666666666666666
Costa Rica,1724,0.78,1161,84,29.6,95,3.7,41667.0,1.3,0.1,25.0,0.2631578947368421
Germany,1937,0.95,34,72,26.9,816,31.4,55667.0,18.2,0.3,85.0,0.10416666666666667
Brazil,2136,2.05,1172,83,26.7,943,36.3,59600.0,32.1,0.4,200.0,0.21208907741251326
Sweden,1850,1.25,28,74,25.9,210,8.1,46400.0,4.0,0.1,1.0,0.004761904761904762
Belgium,2034,1.85,13,75,27.7,704,27.1,64000.0,19.4,0.2,150.0,0.21306818181818182
Tunisia,1646,0.93,4,72,25.1,50,1.9,34333.0,0.5,0.1,15.0,0.3
Colombia,1960,1.22,2625,82,28.2,275,10.6,51500.0,6.1,0.1,45.0,0.16363636363636364
Poland,1751,0.9,110,74,27.0,221,8.5,44667.0,4.4,0.1,60.0,0.27149321266968324
Uruguay,1922,1.55,43,76,28.3,450,17.3,56400.0,13.2,0.1,100.0,0.2222222222222222
Iran,1823,0.73,1191,58,28.5,120,4.6,44000.0,1.6,0.1,18.0,0.15
Denmark,1897,1.15,10,78,27.3,230,8.9,48500.0,4.2,0.1,70.0,0.30434782608695654
Nigeria,1712,1.0,840,77,25.0,115,4.4,45000.0,1.8,0.1,22.0,0.19130434782608696
Serbia,1814,0.8,117,68,28.4,105,4.0,39333.0,2.1,0.1,20.0,0.19047619047619047
South Korea,1778,0.83,38,67,25.3,195,7.5,49000.0,3.2,0.1,40.0,0.20512820512820512
England,1959,1.9,11,77,26.4,834,32.1,63000.0,26.9,0.2,135.0,0.1618705035971223
Japan,1730,1.1,40,76,27.2,190,7.3,50000.0,3.1,0.1,10.0,0.05263157894736842
Saudi Arabia,1583,1.18,612,54,25.6,55,2.1,36667.0,0.6,0.1,4.0,0.07272727272727272
Spain,2011,1.43,650,59,26.9,876,33.7,54750.0,22.8,0.3,65.0,0.07420091324200913
Australia,1736,0.88,577,62,26.8,140,5.4,38333.0,2.0,0.1,8.0,0.05714285714285714
Mexico,1779,1.2,2240,76,26.3,280,10.8,53750.0,5.6,0.1,18.0,0.06428571428571428
Switzerland,1921,1.08,540,66,26.5,270,10.4,47750.0,5.8,0.1,30.0,0.1111111111111111
Senegal,1755,1.05,22,71,25.7,138,5.3,46000.0,2.8,0.1,70.0,0.5072463768115942
Panama,1565,0.72,6,80,25.4,9,0.35,32667.0,0.1,0.0,1.0,0.1111111111111111
Iceland,1668,0.98,18,79,25.4,80,3.1,42667.0,1.0,0.1,20.0,0.25
